shoe_id,cards_remaining,dealer_up,initial_hand,dealer_final,dealer_final_value,player_final,player_final_value,actions_taken,run_count,true_count,win
818656,106,4,"[7, 10]","[4, 10, 5]",19,"[[7, 10]]",[17],[['S']],-3,-1,-1
818656,101,10,"[6, 8]","[10, 10]",20,"[[6, 8, 10]]",[24],[['H']],-3,-1,-1
818656,96,10,"[4, 7]","[10, 6, 10]",26,"[[4, 7, 5]]",[16],[['D']],-5,-2,2
818656,90,10,"[9, 4]","[10, 4, 8]",22,"[[9, 4, 3, 10]]",[26],"[['H', 'H']]",-4,-2,-1
818656,83,5,"[5, 2]","[5, 11, 6, 9]",21,"[[5, 2, 3, 10]]",[20],"[['H', 'H', 'S']]",-3,-1,-1
818657,416,6,"[8, 6]","[6, 10, 11]",17,"[[8, 6]]",[14],[['S']],2,0,-1
818657,411,10,"[3, 9]","[10, 5, 10]",25,"[[3, 9, 7]]",[19],"[['H', 'S']]",2,0,1
818657,405,7,"[8, 10]","[7, 5, 5]",17,"[[8, 10]]",[18],[['S']],2,0,1
818657,400,10,"[10, 7]","[10, 8]",18,"[[10, 7]]",[17],[['S']],3,0,-1
818657,396,9,"[11, 8]","[9, 10]",19,"[[11, 8]]",[19],[['S']],1,0,0
818657,392,8,"[8, 10]","[8, 6, 7]",21,"[[8, 10]]",[18],[['S']],-1,0,-1
818657,387,8,"[4, 10]","[8, 3, 10]",21,"[[4, 10, 4]]",[18],"[['H', 'S']]",-1,0,-1
818657,381,8,"[10, 10]","[8, 3, 10]",21,"[[10, 10]]",[20],[['S']],0,0,-1
818657,376,10,"[6, 5]","[10, 2, 10]",22,"[[6, 5, 11]]",[12],[['D']],-2,0,2
818657,370,10,"[10, 3]","[10, 9]",19,"[[10, 3, 10]]",[23],[['H']],-2,0,-1
818657,365,10,"[10, 2]","[10, 10]",20,"[[10, 2, 9]]",[21],"[['H', 'S']]",-4,0,1
818657,360,10,"[10, 8]","[10, 2, 2, 7]",21,"[[10, 8]]",[18],[['S']],-6,0,-1
818657,354,9,"[11, 10]","[9, 3, 9]",21,"[[11, 10]]",['BJ'],[['S']],-6,0,1.5
818657,349,6,"[2, 3]","[6, 10, 7]",23,"[[2, 3, 10]]",[15],"[['H', 'S']]",-7,-1,1
818657,343,9,"[5, 10]","[9, 3, 6]",18,"[[5, 10, 9]]",[24],[['H']],-6,0,-1
818657,337,10,"[10, 7]","[10, 10]",20,"[[10, 7]]",[17],[['S']],-4,0,-1
818657,333,10,"[6, 8]","[10, 9]",19,"[[6, 8, 9]]",[23],[['H']],-7,-1,-1
818657,328,10,"[7, 10]","[10, 5, 10]",25,"[[7, 10]]",[17],[['S']],-7,-1,1
818657,323,9,"[11, 7]","[9, 11]",20,"[[11, 7, 7, 10]]",[25],"[['H', 'H']]",-9,-1,-1
818657,317,10,"[2, 10]","[10, 3, 5]",18,"[[2, 10, 6]]",[18],"[['H', 'S']]",-12,-1,0
818657,311,3,"[10, 10]","[3, 4, 10]",17,"[[10, 10]]",[20],[['S']],-10,-1,1
818657,306,9,"[10, 5]","[9, 10]",19,"[[10, 5, 5]]",[20],"[['H', 'S']]",-11,-1,1
818657,301,3,"[2, 2]","[3, 6, 10]",19,"[[2, 7, 10], [2, 9, 10]]","[19, 21]","[['P', 'D'], ['D']]",-11,-1,2
818657,292,4,"[2, 10]","[4, 4, 6, 10]",24,"[[2, 10]]",[12],[['S']],-10,-1,1
818657,286,11,"[10, 11]","[11, 9]",20,"[[10, 11]]",['BJ'],"[['N', 'S']]",-8,-1,1.5
818657,282,10,"[7, 8]","[10, 8]",18,"[[7, 8]]",[15],[['R']],-11,-2,-0.5
818657,278,6,"[9, 5]","[6, 6, 5]",17,"[[9, 5]]",[14],[['S']],-12,-2,-1
818657,273,4,"[5, 3]","[4, 10, 7]",21,"[[5, 3, 10]]",[18],"[['H', 'S']]",-8,-1,-1
818657,267,5,"[4, 6]","[5, 11, 5]",21,"[[4, 6, 7]]",[17],[['D']],-7,-1,-2
