dealer_up,initial_hand,actions_taken
2,"[2, 2]","[['P', 'H', 'H', 'S'], ['H', 'S']]"
10,"[10, 10]",[['S']]
3,"[7, 6]",[['S']]
4,"[5, 5]",[['D']]
10,"[10, 11]",[['S']]
5,"[10, 2]",[['S']]
2,"[9, 9]","[['P', 'S'], ['S']]"
6,"[4, 9]",[['S']]
6,"[11, 3]",[['D']]
5,"[10, 5]",[['S']]
2,"[10, 7]",[['S']]
3,"[10, 8]",[['S']]
3,"[3, 10]",[['S']]
5,"[5, 2]","[['H', 'H', 'S']]"
4,"[11, 6]",[['D']]
4,"[9, 4]",[['S']]
7,"[2, 10]","[['H', 'S']]"
6,"[2, 10]",[['S']]
7,"[11, 10]",[['S']]
8,"[9, 10]",[['S']]
7,"[10, 10]",[['S']]
6,"[10, 10]",[['S']]
10,"[10, 10]",[['S']]
10,"[10, 11]",[['S']]
5,"[10, 9]",[['S']]
2,"[5, 7]","[['H', 'S']]"
3,"[4, 5]",[['D']]
5,"[8, 10]",[['S']]
2,"[2, 8]",[['D']]
4,"[7, 4]",[['D']]
7,"[9, 10]",[['S']]
5,"[10, 10]",[['S']]
8,"[3, 10]","[['H', 'S']]"
10,"[11, 10]",[['S']]
5,"[2, 6]","[['H', 'S']]"
4,"[6, 9]",[['S']]
7,"[3, 11]","[['H', 'S']]"
4,"[9, 2]",[['D']]
4,"[10, 10]",[['S']]
10,"[10, 10]",[['S']]
3,"[11, 10]",[['S']]
2,"[8, 2]",[['D']]
10,"[9, 10]",[['S']]
7,"[5, 10]","[['H', 'H', 'S']]"
5,"[9, 2]",[['D']]
6,"[8, 11]",[['D']]
10,"[4, 2]","[['H', 'H', 'S']]"
6,"[8, 4]",[['S']]
10,"[10, 11]",[['S']]
10,"[3, 6]","[['H', 'H', 'S']]"
4,"[10, 10]",[['S']]
10,"[4, 10]","[['H', 'S']]"
10,"[3, 8]",[['D']]
4,"[8, 4]",[['S']]
7,"[10, 4]","[['H', 'S']]"
9,"[6, 3]","[['H', 'H', 'S']]"
10,"[10, 10]",[['S']]
3,"[10, 2]","[['H', 'S']]"
2,"[10, 10]",[['S']]
11,"[10, 10]","[['N', 'S']]"
6,"[7, 8]",[['S']]
8,"[2, 6]","[['H', 'H', 'S']]"
9,"[8, 10]",[['S']]
7,"[2, 11]","[['H', 'H', 'H', 'S']]"
10,"[11, 10]",[['S']]
5,"[9, 9]","[['P', 'S'], ['S']]"
10,"[10, 4]","[['H', 'S']]"
7,"[3, 6]","[['H', 'S']]"
10,"[7, 11]","[['H', 'S']]"
11,"[10, 10]","[['N', 'S']]"
2,"[10, 11]",[['S']]
4,"[8, 9]",[['S']]
5,"[7, 2]",[['D']]
9,"[5, 5]",[['D']]
4,"[4, 2]","[['H', 'H', 'S']]"
8,"[10, 9]",[['S']]
3,"[10, 11]",[['S']]
6,"[5, 5]",[['D']]
2,"[2, 5]","[['H', 'H', 'S']]"
