dealer_up,initial_hand,actions_taken,win
3,"[8, 10]",[['S']],0
3,"[2, 11]","[['H', 'S']]",0
8,"[10, 10]",[['S']],1
10,"[11, 2]","[['H', 'H', 'H', 'S']]",1
9,"[6, 10]",[['R']],0
3,"[3, 10]",[['S']],0
6,"[10, 2]",[['S']],1
6,"[7, 4]",[['D']],0
3,"[8, 10]",[['S']],1
6,"[6, 2]","[['H', 'S']]",0
4,"[3, 5]","[['H', 'S']]",0
9,"[9, 7]",[['R']],0
8,"[6, 5]",[['D']],1
8,"[10, 7]",[['S']],0
7,"[10, 5]","[['H', 'S']]",1
10,"[6, 9]",[['R']],0
10,"[6, 10]",[['R']],0
8,"[10, 10]",[['S']],1
10,"[6, 9]",[['R']],0
10,"[5, 9]",[['H']],0
10,"[8, 8]","[['P', 'S'], ['S']]",0
4,"[10, 8]",[['S']],0
11,"[10, 7]",[['N']],0
7,"[7, 10]",[['S']],0
10,"[8, 2]","[['H', 'H', 'S']]",0
3,"[8, 4]","[['H', 'S']]",1
10,"[11, 5]",[[]],0
6,"[6, 9]",[['S']],1
4,"[10, 5]",[['S']],1
10,"[11, 10]",[['S']],1
9,"[8, 5]",[['H']],0
9,"[5, 10]",[['H']],0
10,"[9, 10]",[['S']],0
10,"[11, 5]","[['H', 'H', 'S']]",0
10,"[7, 4]",[['D']],0
7,"[10, 9]",[['S']],1
10,"[8, 10]",[['S']],0
10,"[10, 9]",[['S']],1
7,"[4, 6]",[['D']],1
4,"[10, 2]",[['S']],1
10,"[10, 7]",[['S']],1
4,"[4, 4]","[['H', 'S']]",0
3,"[11, 6]",[['D']],1
11,"[10, 7]","[['N', 'R']]",0
10,"[11, 2]","[['H', 'S']]",1
6,"[10, 11]",[['S']],1
9,"[6, 10]",[['R']],0
9,"[10, 10]",[['S']],1
8,"[9, 4]",[['H']],0
7,"[10, 11]",[['S']],1
3,"[10, 7]",[['S']],1
6,"[3, 10]",[['S']],1
10,"[4, 11]","[['H', 'H', 'H']]",0
9,"[11, 6]","[['H', 'S']]",0
9,"[11, 10]",[['S']],1
2,"[10, 4]",[['S']],0
3,"[10, 3]",[['S']],0
2,"[10, 3]",[['S']],0
10,"[7, 10]",[['S']],0
10,"[3, 8]",[['D']],0
10,"[3, 7]","[['H', 'S']]",1
10,"[4, 2]","[['H', 'H', 'H']]",0
7,"[7, 7]","[['P', 'H', 'H', 'S'], ['D']]",1
10,"[8, 10]",[[]],0
6,"[6, 6]","[['P', 'D'], ['H', 'S']]",1
5,"[11, 10]",[['S']],1
6,"[9, 11]",[['S']],1
2,"[3, 9]","[['H', 'S']]",0
10,"[10, 11]",[['S']],1
5,"[10, 9]",[['S']],1
10,"[10, 7]",[['S']],0
5,"[6, 2]","[['H', 'S']]",0
10,"[5, 10]",[['R']],0
7,"[8, 4]","[['H', 'H', 'S']]",1
8,"[10, 10]",[['S']],0
3,"[5, 2]","[['H', 'H', 'S']]",0
7,"[3, 2]","[['H', 'H']]",0
10,"[10, 10]",[['S']],1
2,"[10, 7]",[['S']],1
10,"[5, 10]",[['R']],0
5,"[6, 10]",[['S']],0
10,"[10, 4]","[['H', 'H']]",0
8,"[10, 10]",[['S']],1
11,"[2, 10]","[['N', 'H', 'H', 'S']]",1
4,"[10, 9]",[['S']],1
10,"[11, 2]","[['H', 'H', 'S']]",1
9,"[10, 10]",[['S']],1
4,"[4, 5]",[['D']],1
11,"[10, 7]","[['N', 'R']]",0
4,"[9, 10]",[['S']],1
8,"[10, 4]","[['H', 'H']]",0
10,"[5, 6]",[['D']],1
7,"[3, 10]","[['H', 'H', 'S']]",0
10,"[4, 2]","[['H', 'H', 'S']]",0
11,"[10, 5]","[['N', 'R']]",0
9,"[2, 8]",[['D']],0
9,"[10, 10]",[['S']],1
3,"[5, 3]","[['H', 'S']]",0
9,"[2, 2]","[['H', 'H', 'S']]",1
10,"[10, 11]",[['S']],1
10,"[10, 5]",[['R']],0
10,"[6, 10]",[['R']],0
10,"[2, 10]","[['H', 'H', 'S']]",0
10,"[10, 10]",[['S']],0
10,"[10, 8]",[['S']],0
4,"[7, 3]",[['D']],1
10,"[4, 9]","[['H', 'S']]",1
5,"[8, 6]",[['S']],0
8,"[10, 6]","[['H', 'S']]",1
10,"[5, 10]",[['R']],0
8,"[7, 10]",[['S']],0
7,"[5, 10]","[['H', 'S']]",1
11,"[6, 4]","[['N', 'H', 'S']]",0
10,"[6, 8]","[['H', 'S']]",0
2,"[9, 11]",[['S']],1
11,"[6, 5]","[['N', 'D']]",1
8,"[7, 10]",[['S']],1
3,"[4, 10]",[['S']],1
11,"[10, 2]","[['N', 'H', 'S']]",1
10,"[4, 6]",[[]],0
9,"[4, 10]",[['H']],0
2,"[9, 5]",[['S']],0
4,"[10, 4]",[['S']],0
10,"[3, 4]","[['H', 'H', 'H']]",0
5,"[5, 10]",[['S']],1
6,"[11, 10]",[['S']],1
4,"[3, 3]","[['P', 'S'], ['P', 'H', 'H', 'S'], ['D']]",0
9,"[10, 10]",[['S']],1
2,"[9, 10]",[['S']],1
10,"[10, 10]",[['S']],0
10,"[8, 3]",[['D']],0
3,"[11, 3]","[['H', 'S']]",1
10,"[10, 6]",[[]],0
8,"[4, 7]",[['D']],0
10,"[7, 10]",[['S']],0
10,"[10, 8]",[[]],0
10,"[9, 10]",[['S']],1
11,"[7, 6]","[['N', 'H', 'H', 'S']]",1
10,"[5, 4]","[['H', 'H']]",0
2,"[10, 8]",[['S']],0
10,"[2, 10]",[['H']],0
5,"[10, 7]",[['S']],0
8,"[4, 10]","[['H', 'H']]",0
2,"[10, 10]",[['S']],0
11,"[2, 2]","[['N', 'H', 'H', 'H']]",0
6,"[6, 5]",[['D']],0
10,"[5, 11]","[['H', 'H']]",0
2,"[11, 6]","[['H', 'S']]",1
9,"[7, 9]",[['R']],0
3,"[10, 10]",[['S']],1
8,"[10, 10]",[['S']],1
5,"[11, 2]",[['D']],0
9,"[4, 10]",[['H']],0
10,"[9, 7]",[['R']],0
5,"[6, 10]",[['S']],0
9,"[2, 10]","[['H', 'H', 'H']]",0
10,"[10, 6]",[['R']],0
